,PLAYER,TEAM,GP,MPG,PTS,FGM,FGA,FG%,RPG,APG,SPG,BPG,VALUE
177,"Whittington, Shayne",SAS,3.0,22.7,5.7,6.0,15.0,40.0,4.0,1.3,1.3,1.0,13.3
83,"Paige, Marcus",OKC,3.0,18.0,8.3,7.0,17.0,41.2,2.3,2.0,0.7,0.0,13.3
343,"Evans, Jawun",LAC,3.0,18.0,6.3,7.0,14.0,50.0,3.0,4.0,0.0,0.0,13.3
26,"Artis, Jamel",NYK,5.0,18.6,8.8,17.0,35.0,48.6,2.4,1.6,0.2,0.2,13.2
29,"Hayes, Nigel",NYK,5.0,15.4,5.2,12.0,29.0,41.4,5.0,1.6,0.6,0.8,13.2
64,"Long, Naz",IND,4.0,19.8,9.3,14.0,37.0,37.8,3.0,0.8,0.0,0.0,13.100000000000001
59,"Christmas, Rakeem",IND,2.0,14.5,6.5,6.0,10.0,60.0,3.5,0.0,1.0,2.0,13.0
38,"Rathan-Mayes, Xavier",NYK,4.0,17.8,6.0,9.0,25.0,36.0,2.5,3.5,1.0,0.0,13.0
427,"Senglin, Jeremy",BKN,2.0,15.5,8.5,6.0,14.0,42.9,2.5,0.5,1.0,0.5,13.0
179,"Bradley, Tony",UTA,3.0,19.7,8.0,11.0,23.0,47.8,4.0,0.0,0.0,1.0,13.0
532,"Wallace, Tyrone",UTA,2.0,18.5,3.5,3.0,15.0,20.0,5.0,2.5,1.5,0.5,13.0
153,"Drew II, Larry",PHI,2.0,30.0,6.0,5.0,15.0,33.3,1.5,5.0,0.5,0.0,13.0
467,"Hunter, RJ",POR,3.0,21.3,9.7,7.0,18.0,38.9,1.3,1.0,0.3,0.7,13.0
49,"Jones, Jalen",ORL,2.0,18.0,7.5,5.0,18.0,27.8,4.0,1.0,0.5,0.0,13.0
65,"Loyd, Jordan",IND,4.0,18.3,4.5,7.0,29.0,24.1,4.3,3.8,0.3,0.0,12.900000000000002
74,"Ennis, Dylan",OKC,5.0,19.6,8.2,13.0,31.0,41.9,2.6,1.2,0.4,0.4,12.799999999999999
255,"Cousins, Isaiah",NOP,3.0,21.3,6.3,8.0,23.0,34.8,2.7,3.0,0.7,0.0,12.7
252,"Benson, Keith",NOP,3.0,20.7,5.7,7.0,18.0,38.9,6.0,0.0,0.0,1.0,12.7
333,"Oliver, Cameron",HOU,3.0,12.3,5.3,5.0,11.0,45.5,4.7,0.7,1.0,1.0,12.7
44,"Gray, Josh",ORL,3.0,15.7,7.0,9.0,21.0,42.9,1.3,3.0,1.3,0.0,12.600000000000001
519,"Bolomboy, Joel",UTA,3.0,25.7,6.0,5.0,15.0,33.3,5.3,0.3,0.0,1.0,12.600000000000001
246,"Pointer, Sir'Dominic",CLE,2.0,11.5,7.5,6.0,9.0,66.7,3.0,0.5,1.0,0.5,12.5
442,"Miles, Isaiah",PHI,3.0,17.3,7.7,3.0,14.0,21.4,4.0,0.0,0.7,0.0,12.399999999999999
261,"Jones, Jalen",NOP,3.0,18.3,7.7,6.0,25.0,24.0,4.0,0.0,0.7,0.0,12.399999999999999
52,"Martin, Hassan",ORL,4.0,16.3,6.5,8.0,19.0,42.1,4.3,0.5,0.0,0.8,12.100000000000001
507,"Loyd, Jordan",TOR,2.0,20.0,7.5,4.0,10.0,40.0,2.0,1.0,1.0,0.5,12.0
460,"Adams, Jordan",POR,1.0,13.0,9.0,3.0,6.0,50.0,0.0,0.0,3.0,0.0,12.0
411,"Putney, Raphiael",MIN,2.0,15.5,3.5,2.0,18.0,11.1,5.5,1.0,2.0,0.0,12.0
139,"Jackson, Demetrius",BOS,1.0,27.0,6.0,3.0,12.0,25.0,1.0,3.0,2.0,0.0,12.0
431,"Blackmon Jr., James",PHI,1.0,14.0,7.0,3.0,7.0,42.9,2.0,0.0,3.0,0.0,12.0
368,"Wear, Travis",LAL,3.0,19.0,7.0,8.0,26.0,30.8,3.3,0.3,1.0,0.3,11.900000000000002
484,"Papagiannis, Georgios",SAC,3.0,21.0,1.7,2.0,10.0,20.0,7.7,1.3,0.3,0.7,11.700000000000001
469,"Layman, Jake",POR,3.0,30.3,7.7,6.0,30.0,20.0,3.3,0.0,0.7,0.0,11.7
540,"Hunter, Vincent",MEM,3.0,13.0,6.0,7.0,17.0,41.2,3.7,0.0,1.7,0.3,11.7
15,"Clavell, Gian",MIA,5.0,21.0,5.8,10.0,38.0,26.3,3.0,1.2,1.0,0.6,11.6
150,"Blackmon Jr., James",PHI,2.0,18.0,7.5,6.0,14.0,42.9,3.0,0.5,0.5,0.0,11.5
273,"Jovanovic, Nikola",CHI,2.0,13.5,5.5,5.0,8.0,62.5,5.0,0.5,0.0,0.5,11.5
278,"Walker, Chris",CHI,2.0,14.5,3.0,3.0,8.0,37.5,4.5,0.0,1.5,2.5,11.5
486,"Sampson, JaKarr",SAC,2.0,13.0,6.5,5.0,11.0,45.5,3.5,0.5,0.5,0.5,11.5
300,"Lydon, Tyler",DEN,3.0,26.7,3.7,4.0,15.0,26.7,3.7,1.7,1.3,1.0,11.4
142,"Ojeleye, Semi",BOS,3.0,26.7,6.0,6.0,19.0,31.6,3.7,1.3,0.0,0.3,11.3
166,"Blossomgame, Jaron",SAS,3.0,22.0,4.3,5.0,16.0,31.3,6.3,0.3,0.3,0.0,11.200000000000001
564,"Robinson, Devin",WAS,3.0,15.3,4.3,3.0,14.0,21.4,4.3,0.3,1.0,1.3,11.200000000000001
435,"Fultz, Markelle",PHI,1.0,15.0,8.0,3.0,12.0,25.0,2.0,1.0,0.0,0.0,11.0
567,"Wayns, Maalik",WAS,2.0,17.0,6.5,4.0,12.0,33.3,2.0,2.0,0.5,0.0,11.0
549,"Zagorac, Rade",MEM,3.0,21.0,5.0,5.0,13.0,38.5,5.7,0.3,0.0,0.0,11.0
444,"Tarczewski, Kaleb",PHI,2.0,10.0,6.0,5.0,9.0,55.6,4.0,0.0,0.0,1.0,11.0
266,"Young, James",NOP,3.0,15.0,7.3,7.0,19.0,36.8,2.0,1.0,0.7,0.0,11.0
485,"Richardson, Malachi",SAC,1.0,25.0,8.0,2.0,7.0,28.6,3.0,0.0,0.0,0.0,11.0
144,"Smith, Scoochie",BOS,1.0,16.0,4.0,2.0,5.0,40.0,2.0,3.0,2.0,0.0,11.0
440,"Lessort, Mathias",PHI,1.0,13.0,4.0,1.0,2.0,50.0,4.0,1.0,1.0,1.0,11.0
47,"Iwundu, Wesley",ORL,5.0,22.0,5.6,10.0,33.0,30.3,3.8,0.4,0.8,0.4,11.0
113,"Sulaimon, Rasheed",CHA,2.0,22.0,6.0,4.0,9.0,44.4,2.5,2.0,0.5,0.0,11.0
533,"Williams-Goss, Nigel",UTA,3.0,21.3,4.3,3.0,15.0,20.0,2.0,3.7,1.0,0.0,11.0
454,"Jones Jr., Derrick",PHX,3.0,23.7,6.3,8.0,16.0,50.0,3.3,0.3,0.7,0.3,10.9
287,"Motley, Johnathan",DAL,3.0,13.3,5.7,8.0,13.0,61.5,3.7,0.7,0.3,0.3,10.700000000000001
327,"Hartenstein, Isaiah",HOU,3.0,11.3,5.3,4.0,13.0,30.8,3.0,0.7,1.0,0.7,10.7
415,"Boothe, Nathan",BKN,3.0,16.0,7.0,8.0,24.0,33.3,2.0,0.7,0.3,0.7,10.7
265,"Toupane, Axel",NOP,3.0,26.0,5.3,4.0,17.0,23.5,3.7,1.0,0.7,0.0,10.7
107,"Joseph, Kris",CHA,5.0,22.2,6.6,10.0,26.0,38.5,2.8,0.0,1.0,0.2,10.599999999999998
515,"Sheehey, Will",TOR,2.0,19.0,5.5,3.0,12.0,25.0,1.5,2.0,0.5,1.0,10.5
188,"Tokoto, JP",UTA,2.0,20.0,4.5,3.0,6.0,50.0,3.0,2.0,1.0,0.0,10.5
558,"Keene, Marcus",WAS,2.0,13.5,7.5,5.0,10.0,50.0,1.0,1.5,0.5,0.0,10.5
42,"Garino, Patricio",ORL,5.0,19.2,5.6,10.0,22.0,45.5,2.2,1.2,1.0,0.4,10.4
57,"Zimmerman, Stephen",ORL,3.0,17.0,5.0,6.0,15.0,40.0,3.0,1.3,0.7,0.3,10.3
109,"Mathiang, Mangok",CHA,5.0,17.2,4.4,8.0,15.0,53.3,5.0,0.4,0.0,0.4,10.200000000000001
85,"Thomas, Rashawn",OKC,5.0,13.6,4.8,10.0,22.0,45.5,3.6,0.4,0.8,0.6,10.200000000000001
22,"Robinson, Justin",MIA,5.0,15.8,6.8,13.0,38.0,34.2,1.6,1.0,0.8,0.0,10.200000000000001
382,"Robinson, Justin",MIA,2.0,19.0,4.5,3.0,13.0,23.1,2.5,2.0,1.0,0.0,10.0
325,"Williams, JaCorey",GSW,1.0,11.0,5.0,2.0,5.0,40.0,2.0,1.0,2.0,0.0,10.0
359,"Brown, Alec",LAL,1.0,12.0,6.0,2.0,6.0,33.3,4.0,0.0,0.0,0.0,10.0
