,Unnamed: 0,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT,name,AST/TOV
7,7,29.0,SAC,NBA,PG,68.0,64.0,30.3,5.0,10.5,0.476,1.1,2.6,0.417,3.9,7.9,0.495,0.527,2.2,2.5,0.86,0.3,1.9,2.2,4.6,1.0,0.1,1.7,1.8,13.2,21.0,3.0,24.0,darren_collison,2.705882352941176
2,2,23.0,DAL,NBA,PG,36.0,29.0,29.1,3.9,9.6,0.412,1.7,4.1,0.403,2.3,5.4,0.418,0.499,1.8,2.0,0.877,0.4,2.3,2.8,4.3,1.1,0.2,1.6,2.2,11.3,18.7,3.6,22.3,yogi_ferrell,2.6874999999999996
12,12,30.0,,NBA,PG,68.0,30.0,22.3,3.1,7.9,0.392,1.4,3.7,0.365,1.7,4.2,0.415,0.478,0.3,0.4,0.667,0.3,2.0,2.3,5.1,0.7,0.1,1.9,1.4,7.8,16.400000000000002,2.8000000000000003,19.200000000000006,sergio_rodriguez,2.6842105263157894
2,2,24.0,MIA,NBA,PG,73.0,0.0,29.8,4.9,11.3,0.433,1.3,3.4,0.3720000000000001,3.6,7.9,0.46,0.49,2.7,3.5,0.768,0.7,3.3,4.0,3.2,1.2,0.6,1.2,2.4,13.7,19.6,5.1,24.700000000000006,tyler_johnson,2.666666666666667
5,5,27.0,CHI,NBA,SF,76.0,75.0,37.0,7.5,16.5,0.455,1.2,3.3,0.3670000000000001,6.3,13.2,0.477,0.4920000000000001,7.7,8.9,0.865,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9,34.49999999999999,6.800000000000002,41.3,jimmy_butler,2.619047619047619
3,3,26.0,MIL,NBA,PG,76.0,54.0,26.1,2.7,7.0,0.39,1.0,2.8,0.3670000000000001,1.7,4.2,0.404,0.463,1.1,1.3,0.8540000000000001,0.3,1.6,1.9,4.7,0.7,0.0,1.8,2.0,7.6,15.5,2.3,17.8,matthew_dellavedova,2.611111111111111
6,6,26.0,WAS,NBA,PG,78.0,78.0,36.4,8.3,18.4,0.451,1.1,3.5,0.327,7.2,14.9,0.48,0.482,5.4,6.8,0.8009999999999999,0.8,3.4,4.2,10.7,2.0,0.6,4.1,1.9,23.1,41.2,6.0,47.2,john_wall,2.6097560975609757
22,22,40.0,MEM,NBA,SF,73.0,15.0,24.6,2.6,6.7,0.394,1.5,4.1,0.378,1.1,2.7,0.418,0.508,1.2,1.6,0.765,0.5,2.6,3.1,1.8,0.8,0.5,0.7,2.2,8.0,11.4,3.9,15.3,vince_carter,2.5714285714285716
12,12,31.0,NYK,NBA,SG,77.0,74.0,31.9,4.2,9.1,0.456,1.4,3.5,0.401,2.8,5.6,0.49,0.5329999999999999,1.1,1.3,0.867,0.7,2.7,3.4,2.3,1.1,0.3,0.9,1.8,10.8,15.2,4.1000000000000005,19.3,courtney_lee,2.5555555555555554
9,9,29.0,SAC,NBA,PG,69.0,24.0,25.1,3.4,7.6,0.454,0.5,1.7,0.28800000000000003,2.9,5.9,0.502,0.487,2.5,3.1,0.797,0.6,2.0,2.6,4.8,1.1,0.1,1.9,1.7,9.9,18.200000000000006,3.2,21.4,ty_lawson,2.526315789473684
