,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP/GAME,PTS/GAME,TRB/GAME,AST/GAME,WS,WS/48,BPM,VORP
46,45,BOS,Marcus Thornton,College of William & Mary,,,,,,,,,,,,,,,,,
48,47,PHI,Arturas Gudaitis,,,,,,,,,,,,,,,,,,
49,48,OKC,Dakari Johnson,University of Kentucky,,,,,,,,,,,,,,,,,
50,49,WAS,Aaron White,University of Iowa,,,,,,,,,,,,,,,,,
51,50,ATL,Marcus Eriksson,,,,,,,,,,,,,,,,,,
52,51,ORL,Tyler Harvey,Eastern Washington University,,,,,,,,,,,,,,,,,
53,52,DAL,Satnam Singh,,,,,,,,,,,,,,,,,,
54,53,CLE,Sir'Dominic Pointer,St. John's University,,,,,,,,,,,,,,,,,
55,54,UTA,Dani Diez,,,,,,,,,,,,,,,,,,
56,55,SAS,Cady Lalanne,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,
58,57,DEN,Nikola Radicevic,,,,,,,,,,,,,,,,,,
59,58,PHI,J.P. Tokoto,University of North Carolina,,,,,,,,,,,,,,,,,
60,59,ATL,Dimitrios Agravanis,,,,,,,,,,,,,,,,,,
61,60,PHI,Luka Mitrovic,,,,,,,,,,,,,,,,,,
